step:17700 learning_rate= 0.002252 ctc_loss= 0.026169 sequence_distance= 0.000000 train_accuracy= 1.000000
step:17800 learning_rate= 0.002252 ctc_loss= 0.091190 sequence_distance= 0.000000 train_accuracy= 1.000000
step:17900 learning_rate= 0.002252 ctc_loss= 1.020189 sequence_distance= 0.027778 train_accuracy= 0.961806
step:18000 learning_rate= 0.002252 ctc_loss= 0.819196 sequence_distance= 0.028125 train_accuracy= 0.971875
step:18100 learning_rate= 0.001801 ctc_loss= 0.092899 sequence_distance= 0.000000 train_accuracy= 1.000000
step:18200 learning_rate= 0.001801 ctc_loss= 0.156433 sequence_distance= 0.000000 train_accuracy= 1.000000
step:18300 learning_rate= 0.001801 ctc_loss= 0.719156 sequence_distance= 0.021307 train_accuracy= 0.978693
step:18400 learning_rate= 0.001801 ctc_loss= 0.279783 sequence_distance= 0.015625 train_accuracy= 0.984375
step:18500 learning_rate= 0.001801 ctc_loss= 0.339568 sequence_distance= 0.031250 train_accuracy= 0.968750
step:18600 learning_rate= 0.001801 ctc_loss= 0.014291 sequence_distance= 0.000000 train_accuracy= 1.000000
step:18700 learning_rate= 0.001801 ctc_loss= 0.353095 sequence_distance= 0.031250 train_accuracy= 0.968750
step:18800 learning_rate= 0.001801 ctc_loss= 0.014401 sequence_distance= 0.000000 train_accuracy= 1.000000
step:18900 learning_rate= 0.001801 ctc_loss= 0.202345 sequence_distance= 0.015625 train_accuracy= 0.984375
step:19000 learning_rate= 0.001801 ctc_loss= 0.678403 sequence_distance= 0.000000 train_accuracy= 1.000000
step:19100 learning_rate= 0.001441 ctc_loss= 0.122544 sequence_distance= 0.005682 train_accuracy= 0.994318
step:19200 learning_rate= 0.001441 ctc_loss= 0.184841 sequence_distance= 0.000000 train_accuracy= 1.000000
step:19300 learning_rate= 0.001441 ctc_loss= 0.199133 sequence_distance= 0.062500 train_accuracy= 0.937500
step:19400 learning_rate= 0.001441 ctc_loss= 0.365651 sequence_distance= 0.008929 train_accuracy= 0.991071
step:19500 learning_rate= 0.001441 ctc_loss= 0.156111 sequence_distance= 0.000000 train_accuracy= 1.000000
step:19600 learning_rate= 0.001441 ctc_loss= 0.213693 sequence_distance= 0.000000 train_accuracy= 1.000000
step:19700 learning_rate= 0.001441 ctc_loss= 0.479992 sequence_distance= 0.010417 train_accuracy= 0.989583
step:19800 learning_rate= 0.001441 ctc_loss= 0.180590 sequence_distance= 0.004808 train_accuracy= 0.995192
step:19900 learning_rate= 0.001441 ctc_loss= 0.437260 sequence_distance= 0.017857 train_accuracy= 0.982143
step:20000 learning_rate= 0.001441 ctc_loss= 0.579786 sequence_distance= 0.015873 train_accuracy= 0.984127
